card_id,disposition_id,type,issued
1005,9285,classic,1993-11-07
104,588,classic,1994-01-19
747,4915,classic,1994-02-05
70,439,classic,1994-02-08
577,3687,classic,1994-02-15
377,2429,classic,1994-03-03
721,4680,junior,1994-04-05
437,2762,classic,1994-06-01
188,1146,classic,1994-06-19
13,87,classic,1994-06-29
732,4763,classic,1994-07-21
181,1066,classic,1994-08-19
384,2475,junior,1994-09-15
309,1946,classic,1994-09-19
478,3084,classic,1994-10-09
563,3589,classic,1994-10-21
369,2363,classic,1994-11-08
376,2428,classic,1994-11-10
483,3115,classic,1994-11-24
174,1039,junior,1994-12-04
658,4251,classic,1994-12-25
763,5138,junior,1994-12-30
778,5275,classic,1995-01-02
1039,9837,classic,1995-01-07
477,3082,junior,1995-01-16
168,1018,classic,1995-01-24
314,1999,junior,1995-01-27
468,3023,classic,1995-01-30
208,1246,gold,1995-02-08
766,5200,classic,1995-02-11
464,2984,classic,1995-02-21
497,3184,classic,1995-03-03
166,999,classic,1995-03-05
15,114,classic,1995-03-05
503,3225,classic,1995-03-08
1038,9787,junior,1995-03-30
737,4791,classic,1995-04-13
418,2623,classic,1995-04-14
759,5117,junior,1995-04-18
223,1353,classic,1995-04-18
5,51,junior,1995-04-24
159,946,classic,1995-05-01
1223,13231,junior,1995-05-02
662,4293,classic,1995-05-09
779,5323,junior,1995-05-21
1040,9890,junior,1995-05-28
545,3458,classic,1995-05-30
467,3019,classic,1995-06-05
1247,13660,classic,1995-06-13
652,4211,classic,1995-06-16
559,3573,classic,1995-06-17
719,4663,classic,1995-06-24
397,2513,classic,1995-06-24
107,593,classic,1995-06-27
661,4270,classic,1995-07-03
484,3116,classic,1995-07-04
501,3197,classic,1995-07-09
422,2650,junior,1995-07-11
705,4555,classic,1995-07-12
410,2569,classic,1995-07-20
136,778,classic,1995-07-28
592,3782,junior,1995-08-07
262,1647,junior,1995-08-24
18,128,classic,1995-08-25
3,41,gold,1995-09-03
98,537,classic,1995-09-06
167,1011,classic,1995-09-15
97,531,junior,1995-09-19
699,4532,classic,1995-09-26
342,2157,classic,1995-09-27
713,4627,classic,1995-09-30
118,652,classic,1995-10-22
783,5433,junior,1995-10-24
1103,11189,classic,1995-11-04
504,3230,junior,1995-11-06
261,1629,gold,1995-11-09
296,1876,gold,1995-11-13
113,629,junior,1995-11-16
92,508,classic,1995-11-20
1225,13268,classic,1995-11-22
393,2498,junior,1995-12-03
695,4507,classic,1995-12-15
666,4328,junior,1995-12-25
462,2978,classic,1995-12-30
85,489,classic,1995-12-31
337,2141,classic,1996-01-01
771,5233,classic,1996-01-08
379,2431,classic,1996-01-12
106,592,classic,1996-01-14
606,3883,classic,1996-01-22
427,2688,gold,1996-01-25
202,1228,classic,1996-02-04
814,5911,classic,1996-02-15
1064,10328,classic,1996-02-17
14,112,classic,1996-02-17
423,2657,classic,1996-02-19
989,9119,classic,1996-02-21
364,2329,classic,1996-02-29
267,1691,junior,1996-03-09
621,3970,junior,1996-03-19
1139,11836,junior,1996-03-26
725,4715,junior,1996-03-30
150,859,classic,1996-03-30
302,1900,classic,1996-03-31
372,2395,classic,1996-03-31
499,3187,classic,1996-04-03
229,1384,classic,1996-04-05
289,1831,junior,1996-04-08
1100,11101,junior,1996-04-10
37,238,classic,1996-04-20
286,1812,gold,1996-04-21
157,907,classic,1996-04-24
216,1310,junior,1996-04-24
977,8968,classic,1996-05-08
183,1080,classic,1996-05-08
945,8342,junior,1996-05-09
44,268,junior,1996-05-17
600,3829,classic,1996-05-20
127,714,classic,1996-05-23
764,5159,classic,1996-05-29
204,1239,junior,1996-05-30
1134,11742,classic,1996-05-31
312,1971,classic,1996-06-08
313,1980,classic,1996-06-17
641,4116,classic,1996-06-18
731,4751,classic,1996-06-23
84,487,classic,1996-06-26
265,1680,classic,1996-06-28
1176,12502,gold,1996-07-03
1233,13382,classic,1996-07-06
407,2555,classic,1996-07-11
320,2045,classic,1996-07-11
1187,12635,gold,1996-07-17
121,666,junior,1996-07-22
1055,10171,classic,1996-07-24
303,1912,classic,1996-08-01
651,4201,junior,1996-08-02
736,4789,classic,1996-08-03
24,153,junior,1996-08-05
587,3763,junior,1996-08-05
119,655,classic,1996-08-08
670,4343,classic,1996-08-08
227,1380,classic,1996-08-10
1164,12269,classic,1996-08-12
1043,9974,junior,1996-08-14
278,1779,classic,1996-08-15
103,584,junior,1996-08-17
673,4353,junior,1996-08-31
38,242,classic,1996-08-31
470,3036,classic,1996-09-02
890,7422,classic,1996-09-08
514,3267,classic,1996-09-10
741,4832,classic,1996-09-11
882,7195,classic,1996-09-11
12,83,junior,1996-09-11
152,876,classic,1996-09-16
163,984,classic,1996-09-18
708,4568,junior,1996-09-24
1087,10887,classic,1996-10-06
854,6753,classic,1996-10-07
601,3830,classic,1996-10-08
99,548,gold,1996-10-09
547,3477,classic,1996-10-11
40,255,classic,1996-10-13
220,1333,classic,1996-10-13
390,2490,classic,1996-10-14
776,5263,classic,1996-10-19
197,1202,junior,1996-10-21
516,3279,classic,1996-10-25
381,2440,classic,1996-10-27
1010,9413,classic,1996-10-27
813,5873,junior,1996-10-28
272,1754,junior,1996-10-28
772,5243,classic,1996-10-30
528,3356,classic,1996-10-31
1014,9452,classic,1996-11-02
87,493,classic,1996-11-02
88,496,classic,1996-11-04
441,2785,classic,1996-11-05
562,3583,classic,1996-11-07
690,4479,classic,1996-11-07
374,2423,classic,1996-11-08
57,347,classic,1996-11-09
722,4684,classic,1996-11-14
300,1890,classic,1996-11-20
117,649,junior,1996-11-23
541,3427,junior,1996-11-26
294,1861,classic,1996-12-04
10,77,classic,1996-12-07
710,4588,junior,1996-12-10
408,2560,classic,1996-12-10
363,2324,junior,1996-12-11
697,4518,classic,1996-12-11
433,2724,classic,1996-12-12
642,4137,classic,1996-12-13
243,1478,classic,1996-12-13
162,967,junior,1996-12-23
594,3794,junior,1996-12-27
609,3893,classic,1996-12-29
1111,11288,classic,1996-12-31
786,5478,classic,1996-12-31
1118,11393,classic,1997-01-02
175,1040,classic,1997-01-03
565,3601,gold,1997-01-06
714,4638,classic,1997-01-09
137,786,junior,1997-01-10
22,138,classic,1997-01-11
325,2102,classic,1997-01-12
194,1182,classic,1997-01-13
668,4340,classic,1997-01-14
706,4559,gold,1997-01-16
850,6644,classic,1997-01-16
298,1885,classic,1997-01-17
105,590,classic,1997-01-17
1036,9735,classic,1997-01-17
292,1842,gold,1997-01-18
112,626,junior,1997-01-19
678,4405,gold,1997-01-20
1093,11011,classic,1997-01-20
681,4426,classic,1997-01-22
582,3733,classic,1997-01-22
729,4740,junior,1997-01-22
54,334,classic,1997-01-24
258,1607,classic,1997-01-26
534,3387,classic,1997-01-29
667,4333,classic,1997-01-31
195,1194,classic,1997-02-03
199,1213,classic,1997-02-07
490,3136,gold,1997-02-07
347,2184,classic,1997-02-11
210,1253,classic,1997-02-16
293,1850,classic,1997-02-17
189,1157,classic,1997-02-19
324,2074,classic,1997-02-19
578,3689,junior,1997-02-21
266,1690,classic,1997-03-04
568,3615,classic,1997-03-05
171,1027,classic,1997-03-05
679,4416,classic,1997-03-06
841,6468,classic,1997-03-06
513,3260,classic,1997-03-15
647,4171,junior,1997-03-21
665,4318,classic,1997-03-24
400,2529,classic,1997-04-06
617,3944,gold,1997-04-09
709,4587,junior,1997-04-11
387,2481,classic,1997-04-18
226,1378,classic,1997-04-18
350,2226,classic,1997-04-20
539,3415,classic,1997-04-23
583,3735,classic,1997-04-24
576,3671,classic,1997-04-30
232,1396,classic,1997-05-01
730,4749,classic,1997-05-02
616,3943,classic,1997-05-05
564,3590,classic,1997-05-06
82,474,classic,1997-05-07
1173,12442,classic,1997-05-08
426,2686,classic,1997-05-09
791,5521,classic,1997-05-12
572,3636,junior,1997-05-16
375,2425,junior,1997-05-17
69,438,classic,1997-05-17
607,3885,classic,1997-05-17
155,900,junior,1997-05-17
275,1762,classic,1997-05-20
847,6610,classic,1997-05-20
399,2527,classic,1997-05-22
305,1914,classic,1997-05-23
430,2713,classic,1997-05-26
349,2214,classic,1997-05-26
256,1583,classic,1997-05-26
50,309,classic,1997-05-28
939,8217,junior,1997-05-29
110,608,classic,1997-05-31
184,1089,gold,1997-06-03
90,503,classic,1997-06-04
597,3813,junior,1997-06-06
471,3037,classic,1997-06-09
494,3173,classic,1997-06-10
211,1271,classic,1997-06-10
353,2259,classic,1997-06-11
213,1289,gold,1997-06-11
1009,9409,gold,1997-06-14
297,1883,classic,1997-06-15
801,5684,classic,1997-06-15
748,4923,classic,1997-06-16
133,742,classic,1997-06-16
316,2013,classic,1997-06-17
145,819,classic,1997-06-17
270,1736,junior,1997-06-17
1178,12542,classic,1997-06-19
222,1345,classic,1997-06-19
241,1461,classic,1997-06-20
280,1793,classic,1997-06-22
675,4376,classic,1997-06-23
108,597,classic,1997-06-25
1196,12805,classic,1997-06-27
287,1819,junior,1997-06-28
443,2808,classic,1997-06-29
1138,11825,classic,1997-06-29
733,4764,junior,1997-06-30
311,1954,classic,1997-07-01
120,662,classic,1997-07-03
122,667,junior,1997-07-03
476,3079,classic,1997-07-06
781,5366,classic,1997-07-07
588,3765,classic,1997-07-08
403,2538,junior,1997-07-12
139,797,classic,1997-07-14
553,3522,classic,1997-07-14
625,3987,classic,1997-07-17
413,2592,junior,1997-07-20
591,3779,classic,1997-07-23
694,4504,classic,1997-07-24
512,3259,classic,1997-07-24
1095,11023,gold,1997-07-28
1059,10235,classic,1997-07-29
75,457,classic,1997-07-29
383,2469,classic,1997-07-30
115,638,classic,1997-07-30
884,7286,gold,1997-07-31
454,2921,classic,1997-08-01
688,4472,classic,1997-08-01
936,8030,classic,1997-08-02
663,4295,classic,1997-08-06
637,4094,junior,1997-08-06
511,3257,junior,1997-08-06
1220,13160,classic,1997-08-08
628,4007,classic,1997-08-11
718,4660,classic,1997-08-12
238,1452,gold,1997-08-17
546,3465,gold,1997-08-19
660,4265,junior,1997-08-19
491,3151,classic,1997-08-21
140,798,classic,1997-08-22
502,3201,classic,1997-08-22
598,3821,classic,1997-08-23
355,2267,classic,1997-08-28
43,267,classic,1997-08-29
610,3894,classic,1997-08-29
182,1067,gold,1997-08-31
41,256,classic,1997-08-31
91,504,junior,1997-09-01
252,1529,classic,1997-09-02
495,3181,classic,1997-09-02
259,1610,classic,1997-09-05
187,1140,classic,1997-09-07
185,1098,classic,1997-09-07
1025,9625,classic,1997-09-08
19,130,classic,1997-09-09
431,2715,gold,1997-09-12
356,2268,classic,1997-09-13
767,5204,classic,1997-09-14
537,3405,classic,1997-09-15
703,4546,classic,1997-09-17
671,4345,classic,1997-09-17
896,7567,classic,1997-09-18
343,2164,classic,1997-09-21
279,1791,classic,1997-09-21
622,3981,junior,1997-09-22
612,3906,classic,1997-09-22
206,1243,classic,1997-09-22
190,1165,classic,1997-09-23
1203,12893,classic,1997-09-26
234,1424,classic,1997-09-29
30,202,classic,1997-10-01
327,2117,classic,1997-10-03
49,305,classic,1997-10-03
1115,11375,junior,1997-10-03
698,4522,gold,1997-10-07
874,7127,gold,1997-10-07
247,1500,junior,1997-10-08
656,4235,classic,1997-10-08
436,2759,classic,1997-10-09
124,688,classic,1997-10-10
633,4078,classic,1997-10-12
428,2698,classic,1997-10-13
638,4100,gold,1997-10-14
153,886,gold,1997-10-19
596,3811,classic,1997-10-19
664,4316,classic,1997-10-22
251,1525,classic,1997-10-23
552,3519,classic,1997-10-25
9,76,classic,1997-10-25
11,79,gold,1997-10-25
650,4194,classic,1997-10-26
59,365,classic,1997-10-27
1016,9525,classic,1997-10-28
359,2299,classic,1997-10-29
438,2768,classic,1997-10-30
94,513,classic,1997-11-06
1056,10220,classic,1997-11-06
273,1758,classic,1997-11-07
947,8366,classic,1997-11-08
93,510,classic,1997-11-09
762,5132,classic,1997-11-10
254,1578,classic,1997-11-11
611,3896,classic,1997-11-13
648,4188,classic,1997-11-18
373,2401,classic,1997-11-18
579,3699,classic,1997-11-18
555,3544,classic,1997-11-19
329,2122,gold,1997-11-19
707,4560,classic,1997-11-21
51,321,classic,1997-11-21
382,2445,gold,1997-11-22
472,3056,classic,1997-11-24
237,1445,classic,1997-11-25
1234,13386,classic,1997-11-28
86,490,classic,1997-11-28
540,3425,classic,1997-11-29
493,3167,classic,1997-11-30
532,3382,classic,1997-11-30
590,3769,classic,1997-12-02
942,8295,classic,1997-12-02
33,221,junior,1997-12-03
739,4821,classic,1997-12-03
45,272,classic,1997-12-05
25,158,classic,1997-12-06
200,1220,gold,1997-12-09
268,1707,gold,1997-12-11
507,3245,classic,1997-12-11
569,3616,classic,1997-12-12
282,1799,gold,1997-12-13
536,3404,classic,1997-12-13
1022,9606,classic,1997-12-13
1105,11237,classic,1997-12-13
326,2104,classic,1997-12-14
380,2434,classic,1997-12-15
723,4699,classic,1997-12-15
81,473,classic,1997-12-17
521,3310,classic,1997-12-17
608,3890,classic,1997-12-17
589,3766,junior,1997-12-20
281,1795,classic,1997-12-22
891,7434,classic,1997-12-23
774,5249,classic,1997-12-25
566,3606,classic,1997-12-25
575,3667,gold,1997-12-25
154,887,classic,1997-12-28
130,722,classic,1997-12-29
434,2739,classic,1997-12-30
83,483,classic,1998-01-05
593,3787,junior,1998-01-06
481,3102,junior,1998-01-06
304,1913,classic,1998-01-06
149,858,classic,1998-01-07
659,4258,classic,1998-01-08
517,3291,classic,1998-01-09
368,2361,classic,1998-01-10
482,3104,junior,1998-01-13
689,4473,classic,1998-01-15
557,3567,classic,1998-01-17
897,7576,classic,1998-01-18
803,5727,classic,1998-01-19
401,2532,classic,1998-01-19
760,5126,classic,1998-01-19
274,1759,classic,1998-01-21
28,174,junior,1998-01-22
904,7672,classic,1998-01-22
474,3066,junior,1998-01-24
214,1292,classic,1998-01-24
55,335,classic,1998-01-25
340,2155,classic,1998-01-25
724,4701,gold,1998-01-27
67,429,junior,1998-01-28
236,1440,junior,1998-01-29
68,434,classic,1998-01-31
348,2203,classic,1998-02-02
65,414,classic,1998-02-02
1239,13442,junior,1998-02-02
165,996,junior,1998-02-04
249,1517,classic,1998-02-06
246,1492,classic,1998-02-08
720,4674,junior,1998-02-09
518,3292,gold,1998-02-10
459,2958,gold,1998-02-11
655,4231,classic,1998-02-13
624,3985,junior,1998-02-13
398,2522,classic,1998-02-14
796,5579,classic,1998-02-20
100,562,gold,1998-02-21
574,3640,junior,1998-02-23
360,2308,classic,1998-02-24
391,2493,classic,1998-02-24
283,1800,classic,1998-02-25
726,4721,classic,1998-02-26
132,731,junior,1998-02-26
463,2982,classic,1998-02-26
21,132,classic,1998-02-26
529,3357,classic,1998-02-27
946,8359,junior,1998-02-28
419,2626,classic,1998-02-28
248,1512,classic,1998-03-01
215,1296,classic,1998-03-02
225,1359,classic,1998-03-03
643,4157,classic,1998-03-04
844,6567,junior,1998-03-04
672,4349,classic,1998-03-07
276,1765,classic,1998-03-07
1230,13312,classic,1998-03-08
599,3824,gold,1998-03-08
72,447,classic,1998-03-09
1199,12826,classic,1998-03-09
48,295,classic,1998-03-10
58,358,classic,1998-03-11
334,2133,classic,1998-03-13
2,19,classic,1998-03-13
228,1382,junior,1998-03-15
244,1480,classic,1998-03-16
1189,12683,classic,1998-03-17
198,1211,junior,1998-03-18
34,225,classic,1998-03-20
535,3395,classic,1998-03-22
269,1718,gold,1998-03-22
515,3268,classic,1998-03-23
290,1833,classic,1998-03-24
315,2005,junior,1998-03-24
784,5461,classic,1998-03-24
63,378,junior,1998-03-27
417,2619,classic,1998-03-30
619,3958,classic,1998-04-01
191,1168,junior,1998-04-02
965,8636,classic,1998-04-02
444,2815,gold,1998-04-03
370,2374,classic,1998-04-03
156,906,junior,1998-04-07
492,3166,classic,1998-04-09
52,326,gold,1998-04-10
71,441,classic,1998-04-11
775,5253,gold,1998-04-11
330,2124,classic,1998-04-11
510,3256,classic,1998-04-13
170,1020,classic,1998-04-16
338,2146,classic,1998-04-16
755,5002,classic,1998-04-16
451,2888,junior,1998-04-16
263,1668,gold,1998-04-17
602,3846,junior,1998-04-18
498,3186,classic,1998-04-18
933,7959,junior,1998-04-21
89,497,classic,1998-04-22
761,5128,gold,1998-04-23
176,1049,classic,1998-04-25
1102,11183,classic,1998-04-25
109,605,classic,1998-04-26
421,2644,classic,1998-04-27
918,7796,classic,1998-04-27
680,4417,classic,1998-04-29
824,6196,classic,1998-04-29
448,2864,classic,1998-04-29
1194,12781,junior,1998-04-30
331,2125,gold,1998-05-01
734,4765,classic,1998-05-01
235,1438,classic,1998-05-02
284,1807,classic,1998-05-07
412,2585,classic,1998-05-09
64,402,classic,1998-05-10
186,1133,gold,1998-05-12
458,2951,gold,1998-05-14
465,2995,classic,1998-05-15
457,2948,junior,1998-05-16
456,2929,classic,1998-05-16
645,4166,classic,1998-05-17
906,7683,gold,1998-05-18
756,5012,classic,1998-05-18
218,1322,classic,1998-05-18
717,4654,classic,1998-05-19
8,60,junior,1998-05-20
700,4533,junior,1998-05-22
757,5013,junior,1998-05-22
126,707,classic,1998-05-23
358,2287,junior,1998-05-23
639,4112,classic,1998-05-23
212,1280,classic,1998-05-24
415,2609,classic,1998-05-25
161,963,classic,1998-05-25
207,1244,classic,1998-05-25
1216,13097,classic,1998-05-26
649,4190,classic,1998-05-29
475,3075,gold,1998-05-31
586,3756,classic,1998-05-31
446,2841,classic,1998-06-04
823,6178,classic,1998-06-05
644,4165,classic,1998-06-05
111,615,classic,1998-06-05
469,3026,classic,1998-06-07
17,127,classic,1998-06-07
558,3568,classic,1998-06-07
192,1169,classic,1998-06-08
631,4061,junior,1998-06-09
317,2015,classic,1998-06-10
716,4651,junior,1998-06-11
7,56,classic,1998-06-11
863,6906,classic,1998-06-12
123,679,classic,1998-06-12
770,5232,classic,1998-06-15
143,816,classic,1998-06-15
785,5468,classic,1998-06-16
646,4167,classic,1998-06-17
160,954,classic,1998-06-17
669,4341,classic,1998-06-19
101,566,classic,1998-06-19
332,2126,classic,1998-06-19
362,2320,gold,1998-06-21
173,1031,classic,1998-06-21
16,116,classic,1998-06-23
365,2332,classic,1998-06-23
701,4534,classic,1998-06-24
80,471,classic,1998-06-25
831,6275,classic,1998-06-29
354,2265,gold,1998-06-30
250,1522,classic,1998-06-30
142,810,classic,1998-07-01
991,9149,junior,1998-07-01
1192,12736,classic,1998-07-02
738,4808,junior,1998-07-02
627,3994,classic,1998-07-05
696,4516,classic,1998-07-05
260,1616,classic,1998-07-05
768,5223,classic,1998-07-06
233,1418,classic,1998-07-07
450,2880,classic,1998-07-07
440,2782,classic,1998-07-07
301,1899,classic,1998-07-07
485,3124,classic,1998-07-08
567,3611,classic,1998-07-08
66,425,classic,1998-07-08
1002,9261,classic,1998-07-09
453,2911,gold,1998-07-12
277,1777,gold,1998-07-12
571,3627,junior,1998-07-13
687,4471,classic,1998-07-14
640,4115,classic,1998-07-14
39,254,classic,1998-07-14
435,2740,classic,1998-07-15
411,2572,classic,1998-07-15
548,3501,classic,1998-07-16
1167,12335,classic,1998-07-18
727,4723,classic,1998-07-19
603,3850,classic,1998-07-20
496,3183,junior,1998-07-21
73,451,junior,1998-07-21
146,822,classic,1998-07-23
439,2779,classic,1998-07-23
613,3913,classic,1998-07-23
323,2065,junior,1998-07-24
623,3984,classic,1998-07-25
530,3360,classic,1998-07-25
396,2508,classic,1998-07-26
1076,10604,gold,1998-07-27
344,2168,classic,1998-07-27
525,3337,classic,1998-07-27
42,264,junior,1998-07-28
740,4823,junior,1998-07-28
780,5333,classic,1998-07-29
509,3253,gold,1998-07-30
308,1938,classic,1998-07-30
618,3947,classic,1998-07-31
209,1251,classic,1998-07-31
1155,12088,classic,1998-08-01
95,519,junior,1998-08-01
833,6299,classic,1998-08-01
319,2038,junior,1998-08-02
795,5563,classic,1998-08-02
508,3249,classic,1998-08-03
78,468,classic,1998-08-04
683,4437,classic,1998-08-05
32,219,classic,1998-08-06
550,3515,classic,1998-08-08
1217,13098,junior,1998-08-09
1003,9274,classic,1998-08-09
179,1059,classic,1998-08-10
169,1019,classic,1998-08-10
221,1339,classic,1998-08-10
684,4457,classic,1998-08-11
77,466,classic,1998-08-13
581,3721,classic,1998-08-13
47,280,classic,1998-08-13
386,2478,classic,1998-08-14
346,2177,classic,1998-08-14
406,2548,classic,1998-08-16
951,8392,classic,1998-08-16
519,3297,classic,1998-08-16
321,2058,gold,1998-08-16
128,716,classic,1998-08-19
711,4592,classic,1998-08-19
538,3414,gold,1998-08-20
29,192,classic,1998-08-20
834,6301,classic,1998-08-21
461,2977,gold,1998-08-21
239,1453,gold,1998-08-24
395,2502,classic,1998-08-24
531,3378,gold,1998-08-24
1150,12020,classic,1998-08-25
96,528,classic,1998-08-26
367,2343,classic,1998-08-27
1023,9621,classic,1998-08-30
702,4543,classic,1998-08-30
405,2542,classic,1998-08-31
480,3092,classic,1998-09-01
1098,11063,classic,1998-09-01
79,469,classic,1998-09-02
402,2536,classic,1998-09-03
551,3517,classic,1998-09-03
425,2662,junior,1998-09-04
1195,12787,gold,1998-09-04
1154,12070,classic,1998-09-05
307,1930,gold,1998-09-05
752,4944,junior,1998-09-06
134,769,classic,1998-09-07
285,1811,gold,1998-09-10
544,3448,gold,1998-09-10
526,3339,classic,1998-09-10
352,2235,classic,1998-09-11
328,2121,junior,1998-09-12
26,161,classic,1998-09-14
141,808,classic,1998-09-15
151,861,classic,1998-09-16
203,1231,classic,1998-09-16
653,4212,classic,1998-09-16
880,7186,classic,1998-09-17
620,3959,classic,1998-09-17
630,4019,classic,1998-09-18
1188,12678,classic,1998-09-19
389,2489,gold,1998-09-19
1024,9622,classic,1998-09-20
193,1179,gold,1998-09-21
758,5016,classic,1998-09-21
634,4081,junior,1998-09-22
361,2312,classic,1998-09-23
242,1473,classic,1998-09-24
923,7855,classic,1998-09-24
1007,9333,gold,1998-09-25
520,3308,classic,1998-09-25
629,4018,junior,1998-09-25
335,2137,classic,1998-09-25
414,2606,classic,1998-09-26
36,236,classic,1998-09-28
561,3581,gold,1998-09-28
291,1836,classic,1998-09-29
231,1390,junior,1998-09-29
782,5376,classic,1998-09-29
180,1062,classic,1998-09-29
765,5175,classic,1998-09-29
357,2277,junior,1998-09-29
554,3535,classic,1998-09-29
956,8502,classic,1998-09-30
676,4380,classic,1998-09-30
255,1579,gold,1998-10-01
1193,12743,classic,1998-10-01
416,2616,classic,1998-10-01
585,3753,gold,1998-10-01
744,4863,classic,1998-10-02
23,146,classic,1998-10-03
394,2501,classic,1998-10-05
460,2971,classic,1998-10-05
35,231,classic,1998-10-07
447,2845,classic,1998-10-07
264,1669,classic,1998-10-07
245,1483,classic,1998-10-08
505,3233,junior,1998-10-09
336,2138,junior,1998-10-09
366,2335,classic,1998-10-09
533,3384,classic,1998-10-09
288,1826,classic,1998-10-10
754,4976,junior,1998-10-10
116,646,classic,1998-10-11
1035,9732,classic,1998-10-11
682,4429,classic,1998-10-11
792,5526,classic,1998-10-11
385,2476,classic,1998-10-12
53,333,classic,1998-10-13
751,4941,junior,1998-10-15
614,3938,junior,1998-10-16
957,8506,junior,1998-10-16
1,9,gold,1998-10-16
743,4862,gold,1998-10-18
61,374,classic,1998-10-18
60,370,classic,1998-10-18
74,453,classic,1998-10-18
749,4929,classic,1998-10-19
339,2154,classic,1998-10-19
769,5224,classic,1998-10-20
488,3134,gold,1998-10-20
31,208,classic,1998-10-21
542,3439,classic,1998-10-22
750,4937,classic,1998-10-24
855,6764,classic,1998-10-24
299,1886,classic,1998-10-25
158,928,gold,1998-10-25
857,6789,junior,1998-10-25
230,1388,gold,1998-10-25
295,1864,classic,1998-10-26
584,3751,classic,1998-10-28
449,2865,classic,1998-10-28
351,2232,classic,1998-11-01
138,791,classic,1998-11-02
524,3333,classic,1998-11-02
693,4495,junior,1998-11-03
604,3858,classic,1998-11-04
746,4901,classic,1998-11-04
333,2128,classic,1998-11-04
129,719,classic,1998-11-05
429,2709,classic,1998-11-05
424,2659,classic,1998-11-06
345,2175,classic,1998-11-07
1165,12291,classic,1998-11-08
1070,10490,junior,1998-11-08
217,1316,classic,1998-11-09
636,4091,junior,1998-11-09
820,6039,classic,1998-11-10
46,273,classic,1998-11-10
742,4833,classic,1998-11-10
404,2540,junior,1998-11-12
102,575,classic,1998-11-12
455,2924,classic,1998-11-13
253,1536,gold,1998-11-14
570,3620,classic,1998-11-14
27,167,junior,1998-11-15
580,3713,classic,1998-11-16
409,2562,classic,1998-11-16
205,1242,classic,1998-11-16
773,5245,classic,1998-11-18
487,3130,classic,1998-11-18
177,1056,classic,1998-11-19
632,4069,classic,1998-11-19
445,2820,gold,1998-11-19
1001,9247,classic,1998-11-20
257,1589,classic,1998-11-20
178,1057,classic,1998-11-21
704,4553,gold,1998-11-21
56,339,classic,1998-11-22
148,834,classic,1998-11-22
392,2496,classic,1998-11-22
523,3319,junior,1998-11-23
1175,12494,classic,1998-11-24
466,2998,classic,1998-11-25
500,3192,classic,1998-11-26
4,42,classic,1998-11-26
388,2488,junior,1998-11-26
164,992,classic,1998-11-29
489,3135,classic,1998-11-29
626,3992,classic,1998-11-30
1169,12354,classic,1998-11-30
1137,11771,gold,1998-12-01
677,4382,junior,1998-12-01
20,131,classic,1998-12-02
657,4246,junior,1998-12-02
219,1329,classic,1998-12-04
819,5978,gold,1998-12-06
1177,12535,gold,1998-12-06
341,2156,gold,1998-12-06
692,4493,classic,1998-12-08
715,4639,junior,1998-12-08
131,725,classic,1998-12-08
201,1223,classic,1998-12-08
605,3874,classic,1998-12-11
306,1929,classic,1998-12-11
378,2430,classic,1998-12-11
549,3504,classic,1998-12-12
371,2388,gold,1998-12-13
147,826,junior,1998-12-13
527,3348,junior,1998-12-14
172,1030,classic,1998-12-14
886,7325,classic,1998-12-15
479,3085,classic,1998-12-16
691,4492,classic,1998-12-16
560,3577,classic,1998-12-17
452,2910,classic,1998-12-19
506,3236,gold,1998-12-19
735,4772,classic,1998-12-19
654,4230,classic,1998-12-21
196,1197,classic,1998-12-22
473,3063,classic,1998-12-22
829,6255,classic,1998-12-22
310,1947,junior,1998-12-23
76,464,classic,1998-12-23
573,3638,classic,1998-12-23
240,1459,classic,1998-12-23
728,4725,classic,1998-12-24
924,7862,classic,1998-12-24
486,3128,gold,1998-12-25
1081,10696,classic,1998-12-25
753,4974,classic,1998-12-25
442,2796,classic,1998-12-26
125,694,gold,1998-12-26
674,4360,classic,1998-12-28
322,2063,classic,1998-12-28
685,4467,classic,1998-12-29
635,4083,classic,1998-12-29
